id,title,schedule_type,trainer_id,hall_id,start_time,duration_minutes,max_capacity,reserve_slots,is_active,created_at,updated_at,day_of_week,sessions_cost,group_id
5c9f4b88-2d18-43f0-ac84-8ae946880122,Exotic (Level 1),group,29c3dd7f-7cc2-433e-a6a5-319578a849cb,fd96e391-d7ef-4b20-8d45-97156b04e122,16:00:00,60,10,0,true,2026-04-18 16:36:40.118287+00,2026-04-18 16:36:40.118287+00,1,1,09431906-6128-4beb-8e62-5f494b60935a
ddefe64c-9444-4129-b912-fe67ddeae42f,Exotic (Level 1),group,29c3dd7f-7cc2-433e-a6a5-319578a849cb,fd96e391-d7ef-4b20-8d45-97156b04e122,17:00:00,60,10,0,true,2026-04-18 16:36:50.131222+00,2026-04-18 16:36:50.131222+00,1,1,09431906-6128-4beb-8e62-5f494b60935a
e2f0207f-1713-4c2a-9ef5-58cb72bcafde,Exotic (Level 2),group,29c3dd7f-7cc2-433e-a6a5-319578a849cb,fd96e391-d7ef-4b20-8d45-97156b04e122,15:00:00,60,10,0,true,2026-04-18 16:37:01.754505+00,2026-04-18 16:37:01.754505+00,2,1,null
331ba930-7dfd-4a30-8772-ddf06e4cc413,Exotic (Level 2),group,959d0d81-2165-42bb-961c-45e6957fdcf8,fd96e391-d7ef-4b20-8d45-97156b04e122,15:00:00,60,10,0,true,2026-04-18 16:37:16.191447+00,2026-04-18 16:37:16.191447+00,4,1,null
87d53cae-6597-478c-a4b1-b09ec605a25b,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,11:00:00,60,10,0,true,2026-04-18 16:40:58.14485+00,2026-04-18 16:40:58.14485+00,1,1,null
c035ec90-1eb3-4ee9-b52e-da102c50452d,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,11:00:00,60,10,0,true,2026-04-18 16:41:04.585885+00,2026-04-18 16:41:04.585885+00,3,1,null
2a7b7ffb-2ed9-4943-9dc5-69ba053db76c,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,16:00:00,60,10,0,true,2026-04-18 16:41:13.823661+00,2026-04-18 16:41:13.823661+00,1,1,null
4b870812-dd6b-4a00-9b8f-5f53586886a0,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,16:00:00,60,10,0,true,2026-04-18 16:41:25.089367+00,2026-04-18 16:41:25.089367+00,5,1,null
4b76ca70-03a9-4e92-b76c-2e163a804e9c,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,14:00:00,60,10,0,true,2026-04-18 16:41:37.691346+00,2026-04-18 16:41:37.691346+00,3,1,null
d12993a3-0e9a-4439-9dce-dbfecdb4b017,Exotic (Level 2),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,14:00:00,60,10,0,true,2026-04-18 16:41:47.328839+00,2026-04-18 16:41:47.328839+00,5,1,null
7ddd72f1-b7c4-4138-a2db-147adcdc0f40,Exotic (Level 3),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,19:00:00,60,10,0,true,2026-04-18 16:42:25.018319+00,2026-04-18 16:42:25.018319+00,3,1,null
4931ceaa-7733-4075-aa59-04f3c9d196c4,Exotic (Level 3),group,3732e726-26ef-4e61-96d8-798a303ad76b,fd96e391-d7ef-4b20-8d45-97156b04e122,19:00:00,60,10,0,true,2026-04-18 16:42:34.302609+00,2026-04-18 16:42:34.302609+00,5,1,null
